File;Method Name;Average; Distance From Mean
rebound-core/src/main/java/com/facebook/rebound/BouncyConversion.java;BouncyConversion.linear_interpolation( double t , double start , double end );2;-8.745103005741303
rebound-core/src/main/java/com/facebook/rebound/BouncyConversion.java;BouncyConversion.normalize( double value , double startValue , double endValue );2;-8.745103005741303
rebound-core/src/main/java/com/facebook/rebound/BouncyConversion.java;BouncyConversion.project_normal( double n , double start , double end );2;-8.745103005741303
rebound-core/src/main/java/com/facebook/rebound/BouncyConversion.java;BouncyConversion.quadratic_out_interpolation( double t , double start , double end );2;-8.745103005741303
rebound-core/src/main/java/com/facebook/rebound/OrigamiValueConverter.java;OrigamiValueConverter.frictionFromOrigamiValue( double oValue );1;-9.745103005741303
rebound-core/src/main/java/com/facebook/rebound/OrigamiValueConverter.java;OrigamiValueConverter.origamiValueFromFriction( double friction );1;-9.745103005741303
rebound-core/src/main/java/com/facebook/rebound/OrigamiValueConverter.java;OrigamiValueConverter.origamiValueFromTension( double tension );1;-9.745103005741303
rebound-core/src/main/java/com/facebook/rebound/OrigamiValueConverter.java;OrigamiValueConverter.tensionFromOrigamiValue( double oValue );1;-9.745103005741303
rebound-core/src/main/java/com/facebook/rebound/Spring.java;Spring.Spring( BaseSpringSystem springSystem );6;-4.745103005741303
rebound-core/src/main/java/com/facebook/rebound/Spring.java;Spring.addListener( SpringListener newListener );5;-5.745103005741303
rebound-core/src/main/java/com/facebook/rebound/Spring.java;Spring.advance( double realDeltaTime );68;57.2548969942587
rebound-core/src/main/java/com/facebook/rebound/Spring.java;Spring.currentValueIsApproximately( double value );2;-8.745103005741303
rebound-core/src/main/java/com/facebook/rebound/Spring.java;Spring.getDisplacementDistanceForState( PhysicsState state );2;-8.745103005741303
rebound-core/src/main/java/com/facebook/rebound/Spring.java;Spring.interpolate( double alpha );3;-7.745103005741303
rebound-core/src/main/java/com/facebook/rebound/Spring.java;Spring.isAtRest( );2;-8.745103005741303
rebound-core/src/main/java/com/facebook/rebound/Spring.java;Spring.isOvershooting( );0;-10.745103005741303
rebound-core/src/main/java/com/facebook/rebound/Spring.java;Spring.removeListener( SpringListener listenerToRemove );5;-5.745103005741303
rebound-core/src/main/java/com/facebook/rebound/Spring.java;Spring.setEndValue( double endValue );8;-2.745103005741303
rebound-core/src/main/java/com/facebook/rebound/Spring.java;Spring.setSpringConfig( SpringConfig springConfig );5;-5.745103005741303
