File;Method Name;Z-score
spring-expression/src/test/java/org/springframework/expression/spel/SpelCompilationPerformanceTests.java;SpelCompilationPerformanceTests.stringConcatenation( );-2.865713429012521
spring-expression/src/test/java/org/springframework/expression/spel/ast/OpPlusTests.java;OpPlusTests.test_binaryPlusWithNumberOperands( );-5.076922172041663
spring-expression/src/test/java/org/springframework/expression/spel/ast/OpPlusTests.java;OpPlusTests.test_unaryPlusWithNumberOperand( );-2.865713429012521
spring-jdbc/src/main/java/org/springframework/jdbc/core/metadata/CallMetaDataProviderFactory.java;CallMetaDataProviderFactory.createMetaDataProvider( DataSource dataSource , final CallMetaDataContext context );3.2765330794017613
spring-jdbc/src/main/java/org/springframework/jdbc/datasource/LazyConnectionDataSourceProxy.java;LazyConnectionInvocationHandler.invoke( Object proxy , Method method , Object [ ] args );6.224811403440617
spring-jdbc/src/main/java/org/springframework/jdbc/datasource/SingleConnectionDataSource.java;CloseSuppressingInvocationHandler.invoke( Object proxy , Method method , Object [ ] args );3.03084321906519
spring-jdbc/src/main/java/org/springframework/jdbc/support/SQLExceptionSubclassTranslator.java;SQLExceptionSubclassTranslator.doTranslate( String task , @ Nullable String sql , SQLException ex );3.522222939738332
spring-jdbc/src/main/java/org/springframework/jdbc/support/SQLStateSQLExceptionTranslator.java;SQLStateSQLExceptionTranslator.doTranslate( String task , @ Nullable String sql , SQLException ex );2.0480837777189045
spring-jdbc/src/test/java/org/springframework/jdbc/datasource/DataSourceJtaTransactionTests.java;DataSourceJtaTransactionTests.doInTransactionWithoutResult( TransactionStatus status );-2.3743337083393783
spring-jdbc/src/test/java/org/springframework/jdbc/datasource/DataSourceTransactionManagerTests.java;DataSourceTransactionManagerTests.doInTransactionWithoutResult( TransactionStatus status );-7.7795106357439465
spring-jdbc/src/test/java/org/springframework/jdbc/support/JdbcTransactionManagerTests.java;JdbcTransactionManagerTests.doInTransactionWithoutResult( TransactionStatus status );-7.7795106357439465
spring-jdbc/src/test/java/org/springframework/jdbc/support/SQLErrorCodesFactoryTests.java;SQLErrorCodesFactoryTests.assertIsHana( SQLErrorCodes sec );-2.62002356867595
spring-jdbc/src/test/java/org/springframework/jdbc/support/SQLErrorCodesFactoryTests.java;SQLErrorCodesFactoryTests.assertIsSQLServer( SQLErrorCodes sec );-5.322612032378234
spring-jms/src/main/java/org/springframework/jms/config/JmsListenerContainerParser.java;JmsListenerContainerParser.parseSpecificContainerProperties( Element containerEle , ParserContext parserContext );3.7679128000749036
spring-jms/src/test/java/org/springframework/jms/core/JmsTemplateTests.java;JmsTemplateTests.doTestReceive( boolean explicitDestination , boolean useDefaultDestination , boolean testConverter , boolean clientAcknowledge , boolean messageSelector , boolean noLocal , long timeout );4.504982381084617
spring-jms/src/test/java/org/springframework/jms/core/JmsTemplateTests.java;JmsTemplateTests.doTestSendDestination( boolean explicitDestination , boolean useDefaultDestination , boolean ignoreQOS , boolean disableIdAndTimestamp );2.0480837777189045
spring-orm/src/main/java/org/springframework/orm/hibernate5/LocalSessionFactoryBuilder.java;LocalSessionFactoryBuilder.scanPackages( String ... packagesToScan );2.7851533587286186
spring-r2dbc/src/main/java/org/springframework/r2dbc/connection/ConnectionFactoryUtils.java;ConnectionFactoryUtils.convertR2dbcException( String task , @ Nullable String sql , R2dbcException ex );2.7851533587286186
spring-r2dbc/src/main/java/org/springframework/r2dbc/connection/TransactionAwareConnectionFactoryProxy.java;TransactionAwareInvocationHandler.invoke( Object proxy , Method method , Object [ ] args );2.0480837777189045
spring-r2dbc/src/main/java/org/springframework/r2dbc/connection/init/ScriptUtils.java;ScriptUtils.splitSqlScript( EncodedResource resource , String script , String separator , String [ ] commentPrefixes , String blockCommentStartDelimiter , String blockCommentEndDelimiter );-2.1286438480028074
spring-test/src/main/java/org/springframework/mock/web/MockCookie.java;MockCookie.parse( String setCookieHeader );2.2937736380554763
spring-test/src/main/java/org/springframework/test/context/MergedContextConfiguration.java;MergedContextConfiguration.hashCode( );-3.8484728703588065
spring-test/src/main/java/org/springframework/test/context/support/AbstractContextLoader.java;AbstractContextLoader.invokeApplicationContextInitializers( ConfigurableApplicationContext context , MergedContextConfiguration mergedConfig );2.0480837777189045
spring-test/src/main/java/org/springframework/test/context/support/ActiveProfilesUtils.java;ActiveProfilesUtils.resolveActiveProfiles( Class < ? > testClass );2.0480837777189045
spring-test/src/test/java/org/springframework/test/context/cache/ContextCacheTests.java;ContextCacheTests.verifyCacheBehaviorForContextHierarchies( );-3.8484728703588065
spring-test/src/test/java/org/springframework/test/context/cache/ContextCacheTests.java;ContextCacheTests.verifyCacheKeyIsBasedOnActiveProfiles( );-2.1286438480028074
spring-tx/src/main/java/org/springframework/transaction/support/AbstractPlatformTransactionManager.java;AbstractPlatformTransactionManager.processCommit( DefaultTransactionStatus status );2.539463498392047
spring-tx/src/main/java/org/springframework/transaction/support/AbstractPlatformTransactionManager.java;AbstractPlatformTransactionManager.processRollback( DefaultTransactionStatus status , boolean unexpected );2.539463498392047
spring-web/src/main/java/org/springframework/http/codec/ServerSentEventHttpMessageReader.java;ServerSentEventHttpMessageReader.buildEvent( List < String > lines , ResolvableType valueType , boolean shouldWrap , Map < String , Object > hints );2.0480837777189045
spring-web/src/main/java/org/springframework/http/codec/protobuf/ProtobufDecoder.java;MessageDecoderFunction.readMessageSize( DataBuffer input );-2.1286438480028074
spring-web/src/main/java/org/springframework/http/converter/support/AllEncompassingFormHttpMessageConverter.java;AllEncompassingFormHttpMessageConverter.AllEncompassingFormHttpMessageConverter( );2.0480837777189045
spring-web/src/main/java/org/springframework/web/util/HtmlCharacterEntityDecoder.java;HtmlCharacterEntityDecoder.findNextPotentialReference( int startPosition );-2.3743337083393783
spring-web/src/main/java/org/springframework/web/util/UriUtils.java;UriUtils.extractFileExtension( String path );-2.62002356867595
spring-web/src/main/java/org/springframework/web/util/pattern/InternalPathPatternParser.java;InternalPathPatternParser.parse( String pathPattern );-3.357093149685664
spring-web/src/main/java/org/springframework/web/util/pattern/InternalPathPatternParser.java;InternalPathPatternParser.peekDoubleWildcard( );-2.1286438480028074
spring-web/src/main/java/org/springframework/web/util/pattern/InternalPathPatternParser.java;InternalPathPatternParser.skipCaptureRegex( );-2.3743337083393783
spring-web/src/main/java/org/springframework/web/util/pattern/RegexPathElement.java;RegexPathElement.matches( int pathIndex , MatchingContext matchingContext );-2.1286438480028074
spring-web/src/test/java/org/springframework/http/MediaTypeTests.java;MediaTypeTests.qualityComparator( );-3.8484728703588065
spring-web/src/test/java/org/springframework/http/MediaTypeTests.java;MediaTypeTests.specificityComparator( );-3.8484728703588065
spring-web/src/test/java/org/springframework/web/util/WebUtilsTests.java;WebUtilsTests.isSameOrigin( );-4.339852591031949
spring-web/src/test/java/org/springframework/web/util/pattern/PathPatternTests.java;PathPatternTests.patternComparator( );-2.1286438480028074
spring-web/src/testFixtures/java/org/springframework/web/testfixture/servlet/MockCookie.java;MockCookie.parse( String setCookieHeader );2.2937736380554763
spring-webflux/src/main/java/org/springframework/web/reactive/result/method/annotation/AbstractMessageReaderArgumentResolver.java;AbstractMessageReaderArgumentResolver.readBody( MethodParameter bodyParam , @ Nullable MethodParameter actualParam , boolean isBodyRequired , BindingContext bindingContext , ServerWebExchange exchange );2.539463498392047
spring-webflux/src/main/java/org/springframework/web/reactive/result/view/script/ScriptTemplateView.java;ScriptTemplateView.setApplicationContext( @ Nullable ApplicationContext context );-2.865713429012521
spring-webflux/src/test/java/org/springframework/web/reactive/result/condition/ProducesRequestConditionTests.java;ProducesRequestConditionTests.compareTo( );-2.3743337083393783
