File;Method Name;Mutant Density
ansible/executor/task_executor;TaskExecutor._run_loop;46
ansible/executor/task_executor;TaskExecutor._execute;140
ansible/executor/task_executor;TaskExecutor._poll_async_result;26
ansible/executor/task_executor;TaskExecutor._get_become;3
ansible/executor/task_executor;TaskExecutor._get_connection;3
ansible/executor/task_executor;TaskExecutor._set_become_plugin;9
ansible/executor/task_executor;TaskExecutor._set_plugin_options;7
ansible/executor/task_executor;TaskExecutor._set_connection_options;15
ansible/executor/task_executor;TaskExecutor._get_action_handler_with_module_context;12
ansible/executor/task_queue_manager;TaskQueueManager._cleanup_processes;14
ansible/executor/task_queue_manager;TaskQueueManager.__init__;5
ansible/executor/task_queue_manager;TaskQueueManager.load_callbacks;40
ansible/executor/task_queue_manager;TaskQueueManager.run;11
ansible/executor/task_queue_manager;TaskQueueManager.send_callback;16
ansible/executor/task_queue_manager;FinalQueue.send_task_result;1
ansible/executor/task_queue_manager;TaskQueueManager.has_dead_workers;1
ansible/executor/task_queue_manager;send_callback;1
ansible/executor/task_queue_manager;__init__;5
ansible/executor/task_result;TaskResult.clean_copy;16
ansible/executor/task_result;TaskResult.needs_debugger;20
ansible/executor/task_result;TaskResult.__init__;2
ansible/executor/task_result;TaskResult.is_skipped;5
ansible/executor/task_result;TaskResult.is_failed;7
ansible/executor/task_result;TaskResult._check_key;5
ansible/executor/task_result;task_name;1
ansible/executor/task_result;TaskResult.task_name;1
ansible/galaxy/api;GalaxyAPI.lookup_role_by_name;13
ansible/galaxy/api;GalaxyError.__init__;14
ansible/galaxy/api;GalaxyAPI.__init__;7
ansible/galaxy/api;GalaxyAPI._call_galaxy;33
ansible/galaxy/api;GalaxyAPI.authenticate;4
ansible/galaxy/api;GalaxyAPI.create_import_task;6
ansible/galaxy/api;GalaxyAPI.get_import_task;5
ansible/galaxy/api;GalaxyAPI.fetch_role_related;7
ansible/galaxy/api;GalaxyAPI.get_list;9
ansible/galaxy/api;GalaxyAPI.search_roles;17
ansible/galaxy/api;GalaxyAPI.add_secret;1
ansible/galaxy/api;GalaxyAPI.remove_secret;1
ansible/galaxy/api;GalaxyAPI.delete_role;1
ansible/galaxy/api;GalaxyAPI.publish_collection;12
ansible/galaxy/api;GalaxyAPI.wait_import_task;36
ansible/galaxy/api;GalaxyAPI.get_collection_metadata;3
ansible/galaxy/api;GalaxyAPI.get_collection_version_metadata;2
